nameWithOwner,sshUrl,starsCount,releasesCount,ageInYears,loc,comments
CyC2018/CS-Notes,git@github.com:CyC2018/CS-Notes.git,137885,0,3.5671232876712327,27411,1704
Snailclimb/JavaGuide,git@github.com:Snailclimb/JavaGuide.git,110261,0,3.33972602739726,326,52
iluwatar/java-design-patterns,git@github.com:iluwatar/java-design-patterns.git,69829,0,7.0849315068493155,49350,53177
MisterBooo/LeetCodeAnimation,git@github.com:MisterBooo/LeetCodeAnimation.git,66769,0,2.756164383561644,347,25
doocs/advanced-java,git@github.com:doocs/advanced-java.git,57086,0,2.9232876712328766,160,0
spring-projects/spring-boot,git@github.com:spring-projects/spring-boot.git,57036,106,8.89041095890411,383953,169168
elastic/elasticsearch,git@github.com:elastic/elasticsearch.git,56358,56,11.586301369863014,2071612,323240
kdn251/interviews,git@github.com:kdn251/interviews.git,53810,0,4.564383561643836,11583,6649
macrozheng/mall,git@github.com:macrozheng/mall.git,52250,1,3.43013698630137,90175,3478
ReactiveX/RxJava,git@github.com:ReactiveX/RxJava.git,45144,225,8.668493150684931,314459,80658
spring-projects/spring-framework,git@github.com:spring-projects/spring-framework.git,44211,210,10.756164383561643,724036,374297
google/guava,git@github.com:google/guava.git,42261,32,7.282191780821917,507246,186872
TheAlgorithms/Java,git@github.com:TheAlgorithms/Java.git,40487,0,5.147945205479452,12463,5381
square/retrofit,git@github.com:square/retrofit.git,38656,0,11.008219178082191,27864,6310
kon9chunkit/GitHub-Chinese-Top-Charts,git@github.com:kon9chunkit/GitHub-Chinese-Top-Charts.git,38412,0,2.0082191780821916,0,0
apache/dubbo,git@github.com:apache/dubbo.git,36102,38,9.224657534246575,189334,76472
PhilJay/MPAndroidChart,git@github.com:PhilJay/MPAndroidChart.git,33897,44,7.375342465753425,26770,9178
airbnb/lottie-android,git@github.com:airbnb/lottie-android.git,31716,36,4.920547945205479,31348,3412
bumptech/glide,git@github.com:bumptech/glide.git,31674,36,8.169863013698631,79290,14509
Blankj/AndroidUtilCode,git@github.com:Blankj/AndroidUtilCode.git,29787,116,5.109589041095891,49212,19316
NationalSecurityAgency/ghidra,git@github.com:NationalSecurityAgency/ghidra.git,28673,14,2.5232876712328767,1875911,627634
geekxh/hello-algorithm,git@github.com:geekxh/hello-algorithm.git,28422,0,1.2767123287671234,1845,978
zxing/zxing,git@github.com:zxing/zxing.git,28331,27,9.912328767123288,160658,41227
netty/netty,git@github.com:netty/netty.git,27508,0,10.835616438356164,325993,111119
eugenp/tutorials,git@github.com:eugenp/tutorials.git,27413,0,8.364383561643836,810933,82573
alibaba/arthas,git@github.com:alibaba/arthas.git,27035,37,3.0273972602739727,86603,17330
crossoverJie/JCSprout,git@github.com:crossoverJie/JCSprout.git,26379,0,3.7260273972602738,4452,1435
ityouknow/spring-boot-examples,git@github.com:ityouknow/spring-boot-examples.git,26196,0,4.841095890410959,15879,410
JakeWharton/butterknife,git@github.com:JakeWharton/butterknife.git,25735,0,8.515068493150684,14427,926
apolloconfig/apollo,git@github.com:apolloconfig/apollo.git,25398,32,5.515068493150685,89990,23492
proxyee-down-org/proxyee-down,git@github.com:proxyee-down-org/proxyee-down.git,25378,49,3.871232876712329,7678,445
jeecgboot/jeecg-boot,git@github.com:jeecgboot/jeecg-boot.git,24822,16,2.7835616438356166,476312,39614
alibaba/druid,git@github.com:alibaba/druid.git,24454,42,9.852054794520548,402881,78992
alibaba/fastjson,git@github.com:alibaba/fastjson.git,23747,82,9.852054794520548,192996,15939
xkcoding/spring-boot-demo,git@github.com:xkcoding/spring-boot-demo.git,23270,0,3.8273972602739725,27600,8019
lenve/vhr,git@github.com:lenve/vhr.git,22247,0,3.6767123287671235,18199,1699
CymChad/BaseRecyclerViewAdapterHelper,git@github.com:CymChad/BaseRecyclerViewAdapterHelper.git,22239,191,5.413698630136986,8723,2217
dbeaver/dbeaver,git@github.com:dbeaver/dbeaver.git,22027,135,5.884931506849315,449243,107780
Netflix/Hystrix,git@github.com:Netflix/Hystrix.git,21921,79,8.805479452054794,51632,17904
SeleniumHQ/selenium,git@github.com:SeleniumHQ/selenium.git,21592,69,8.64931506849315,673896,293942
wuyouzhuguli/SpringAll,git@github.com:wuyouzhuguli/SpringAll.git,21576,0,3.3534246575342466,27526,2232
hollischuang/toBeTopJavaer,git@github.com:hollischuang/toBeTopJavaer.git,21500,0,2.871232876712329,58,6
qiurunze123/miaosha,git@github.com:qiurunze123/miaosha.git,21451,0,2.9835616438356163,265668,33996
signalapp/Signal-Android,git@github.com:signalapp/Signal-Android.git,21087,0,9.736986301369862,519361,45996
alibaba/easyexcel,git@github.com:alibaba/easyexcel.git,21032,1,3.5863013698630137,21087,7603
seata/seata,git@github.com:seata/seata.git,20724,31,2.695890410958904,166999,66081
alibaba/canal,git@github.com:alibaba/canal.git,20368,21,8.654794520547945,99113,20250
dromara/hutool,git@github.com:dromara/hutool.git,20323,99,7.4082191780821915,109641,91799
alibaba/spring-cloud-alibaba,git@github.com:alibaba/spring-cloud-alibaba.git,20013,25,3.767123287671233,29482,11291
google/gson,git@github.com:google/gson.git,20008,1,6.476712328767123,27026,9012
apache/kafka,git@github.com:apache/kafka.git,19807,0,10.07123287671233,638629,165393
