nameWithOwner,sshUrl,starsCount,releasesCount,ageInYears,loc,comments,cboMedian,ditMedian,lcomMedian
CyC2018/CS-Notes,git@github.com:CyC2018/CS-Notes.git,137885,0,3.5671232876712327,27411,1704,0,0,0
Snailclimb/JavaGuide,git@github.com:Snailclimb/JavaGuide.git,110261,0,3.33972602739726,326,52,0,0,0
iluwatar/java-design-patterns,git@github.com:iluwatar/java-design-patterns.git,69829,0,7.0849315068493155,49350,53177,3,1,0
MisterBooo/LeetCodeAnimation,git@github.com:MisterBooo/LeetCodeAnimation.git,66769,0,2.756164383561644,347,25,1,1,0
doocs/advanced-java,git@github.com:doocs/advanced-java.git,57086,0,2.9232876712328766,160,0,0,0,0
spring-projects/spring-boot,git@github.com:spring-projects/spring-boot.git,57036,106,8.89041095890411,384301,169241,4,1,0
elastic/elasticsearch,git@github.com:elastic/elasticsearch.git,56358,56,11.586301369863014,2076053,323823,0,0,0
kdn251/interviews,git@github.com:kdn251/interviews.git,53810,0,4.564383561643836,11611,6657,1,1,0
macrozheng/mall,git@github.com:macrozheng/mall.git,52250,1,3.43013698630137,90175,3478,3,1,13
ReactiveX/RxJava,git@github.com:ReactiveX/RxJava.git,45144,225,8.668493150684931,314459,80658,1,1,0
spring-projects/spring-framework,git@github.com:spring-projects/spring-framework.git,44211,210,10.756164383561643,724131,374298,3,1,0
google/guava,git@github.com:google/guava.git,42261,32,7.282191780821917,509572,187342,2,1,0
TheAlgorithms/Java,git@github.com:TheAlgorithms/Java.git,40487,0,5.147945205479452,12463,5381,1,1,1
square/retrofit,git@github.com:square/retrofit.git,38656,0,11.008219178082191,27864,6310,3,1,0
kon9chunkit/GitHub-Chinese-Top-Charts,git@github.com:kon9chunkit/GitHub-Chinese-Top-Charts.git,38412,0,2.0082191780821916,0,0,0,0,0
apache/dubbo,git@github.com:apache/dubbo.git,36102,38,9.224657534246575,190347,76702,4,1,0
PhilJay/MPAndroidChart,git@github.com:PhilJay/MPAndroidChart.git,33897,44,7.375342465753425,26770,9178,5,1,1
airbnb/lottie-android,git@github.com:airbnb/lottie-android.git,31716,36,4.920547945205479,31358,3413,4,1,0
bumptech/glide,git@github.com:bumptech/glide.git,31674,36,8.169863013698631,79290,14509,4,1,0
Blankj/AndroidUtilCode,git@github.com:Blankj/AndroidUtilCode.git,29787,116,5.109589041095891,49212,19316,2,1,0
NationalSecurityAgency/ghidra,git@github.com:NationalSecurityAgency/ghidra.git,28673,14,2.5232876712328767,1876617,627858,0,0,0
geekxh/hello-algorithm,git@github.com:geekxh/hello-algorithm.git,28422,0,1.2767123287671234,1845,978,1,1,0
