file,class,method,variable,usage
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0155-min-stack/Code/1.java,MinStack,push/1[int],x,5
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0035-search-insert-position/Code/1.java,Solution1,"searchInsert/2[int[],int]",i,4
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0035-search-insert-position/Code/1.java,Solution1,"searchInsert/2[int[],int]",nums,2
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0035-search-insert-position/Code/1.java,Solution1,"searchInsert/2[int[],int]",target,1
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0035-search-insert-position/Code/2.java,Solution2,"searchInsert/2[int[],int]",left,4
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0035-search-insert-position/Code/2.java,Solution2,"searchInsert/2[int[],int]",mid,3
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0035-search-insert-position/Code/2.java,Solution2,"searchInsert/2[int[],int]",right,3
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0035-search-insert-position/Code/2.java,Solution2,"searchInsert/2[int[],int]",nums,5
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0035-search-insert-position/Code/2.java,Solution2,"searchInsert/2[int[],int]",target,2
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0215-Kth-Largest-Element-in-an-Array/Code/1.java,Solution,"findKthLargest/2[int[],int]",i,5
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0215-Kth-Largest-Element-in-an-Array/Code/1.java,Solution,"findKthLargest/2[int[],int]",k,1
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0215-Kth-Largest-Element-in-an-Array/Code/1.java,Solution,"findKthLargest/2[int[],int]",heap,6
/Users/bruno/Downloads/Lab/LeetCodeAnimation-master/0215-Kth-Largest-Element-in-an-Array/Code/1.java,Solution,"findKthLargest/2[int[],int]",nums,4
